SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
506022,PRAKASH IND.,B ,Q,85.00,85.65,80.30,83.05,85.30,85.05,635,74067,6109126.00,
506074,ARSHIYA     ,B ,Q,29.20,29.20,28.10,28.80,29.00,29.10,161,9129,260881.00,
506076,GRIND NORTON,B ,Q,540.00,544.80,538.00,540.45,538.00,542.05,20,138,74729.00,
506105,STANROSE MAF,X ,Q,104.10,104.10,104.00,104.05,104.00,105.80,5,206,21435.00,
506109,GENESYS INT.,B ,Q,130.00,132.90,129.05,132.90,132.90,133.50,5,127,16581.00,
506128,PARNAXLAB   ,X ,Q,42.35,42.35,38.80,38.95,38.80,40.80,10,755,29513.00,
506146,VISAGAR POL ,B ,Q,0.71,0.71,0.68,0.69,0.69,0.71,15,58473,40773.00,
506184,KANANI IND  ,B ,Q,5.50,5.50,4.95,4.95,4.95,4.94,3,1132,5701.00,
506186,GALAXY ENTER,XT,Q,40.90,41.25,40.90,40.90,40.90,43.05,15,2477,101326.00,
506194,ARIH SUPER  ,B ,Q,52.10,52.10,48.85,49.00,48.85,52.50,87,10742,536965.00,
506197,BLISSGVS PH ,B ,Q,144.00,160.50,144.00,155.30,155.30,144.45,3966,475370,73080692.00,
506222,INEOSSTYRO  ,B ,Q,624.00,631.10,612.60,616.75,624.90,626.85,103,2335,1459717.00,
506235,ALEMBIC LTD.,B ,Q,40.10,41.45,40.00,41.40,41.35,40.70,133,15890,651839.00,
506248,AMINES&PLAST,X ,Q,34.05,34.05,33.50,34.00,34.00,34.80,24,1337,45402.00,
506260,ANUH PHARMA ,X ,Q,139.75,144.60,134.00,136.45,136.45,139.75,224,17150,2352647.00,
506261,MODISON MET.,X ,Q,39.50,43.10,39.50,43.00,43.00,40.70,65,35100,1501450.00,
506285,BAYER CROP  ,A ,Q,4302.60,4347.60,4254.00,4283.65,4289.95,4353.50,59,138,594234.00,
506365,CHEMO PHARMA,XT,Q,20.00,20.00,20.00,20.00,20.00,19.95,11,55,1100.00,
506390,CLARI CHEM  ,B ,Q,390.45,390.55,381.35,382.30,381.60,384.40,48,2721,1049963.00,
506395,COROM INTER ,A ,Q,450.25,462.70,450.20,457.55,456.05,455.05,430,3561,1627176.00,
506401,DEEPAK NITR.,B ,Q,229.00,232.15,217.50,227.00,229.80,227.00,569,21579,4821685.00,
506405,DHARAMSI CHM,X ,Q,125.60,129.00,125.00,127.20,128.95,128.70,74,6323,799418.00,
506414,DIL LTD     ,X ,Q,915.00,930.00,890.05,912.75,903.00,934.65,61,1565,1412456.00,
506480,GOCLCORP    ,B ,Q,231.95,236.60,228.00,236.60,236.60,241.45,13,85,19849.00,
506520,JAYSHRI CHEM,X ,Q,8.25,8.25,7.90,7.91,7.91,7.70,12,7118,58547.00,
506522,JL MORISON  ,X ,Q,1453.00,1453.00,1402.30,1450.00,1450.00,1510.00,22,212,306932.00,
506525,KANORIA CHEM,B ,Q,64.25,66.50,62.30,65.25,64.75,66.35,57,2714,177157.00,
506528,KELTECH EN. ,X ,Q,714.05,764.90,714.00,719.45,715.00,770.00,44,322,233196.00,
506532,NITTA GELA  ,X ,Q,125.10,129.95,124.00,127.60,126.00,125.35,10,384,48258.00,
506579,ORIENT.CARB.,B ,Q,1200.00,1214.95,1186.00,1205.45,1205.45,1189.55,42,386,462459.00,
506590,PHIL.CARBON ,B ,Q,169.70,169.70,163.30,164.80,164.15,169.25,1535,129897,21493199.00,
506597,AMAL PRODUCT,X ,Q,111.05,116.90,111.05,112.20,112.20,117.00,38,3756,429075.00,
